FarmerID,LastName,Age,Gender,LandID,Area,City,Wilaya
266,Guedioura,44,Female,666,Oran,Oran,Aïn El Turk
267,Boughanem,30,Male,667,Constantine,Constantine,Sétif
268,Belarbi,38,Female,668,Annaba,Annaba,El Bouni
269,Medjani,33,Male,669,Tizi Ouzou,Tizi Ouzou,Tizi Rached
270,Bentaleb,29,Female,670,Blida,Blida,Boufarik
271,Belaïli,38,Male,671,Algiers,Algiers,El Harrach
272,Slimani,31,Female,672,Oran,Oran,Bir El Djir
273,Brahimi,27,Male,673,Constantine,Constantine,El Khroub
274,Khiladi,40,Female,674,Annaba,Annaba,Berrahal
275,Tassili,35,Male,675,Tizi Ouzou,Tizi Ouzou,Azeffoun
276,Boucherit,29,Female,676,Blida,Blida,Bir Mourad Raïs
277,Boushaki,44,Male,677,Algiers,Algiers,Aïn Benian
278,Boukadoum,38,Female,678,Oran,Oran,Aïn El Turk
279,Tidjani,33,Male,679,Constantine,Constantine,Sétif
280,Sahnoun,29,Female,680,Annaba,Annaba,El Bouni
281,Bouazza,38,Male,681,Tizi Ouzou,Tizi Ouzou,Tizi Rached
282,Bouiche,27,Female,682,Blida,Blida,Boufarik
283,Belmokhtar,27,Male,683,Algiers,Algiers,El Harrach
284,Kheireddine,40,Female,684,Oran,Oran,Bir El Djir
285,Boumediene,29,Male,685,Constantine,Constantine,El Khroub
286,Belaid,44,Female,686,Annaba,Annaba,Berrahal
287,Haddad,30,Male,687,Tizi Ouzou,Tizi Ouzou,Azeffoun
288,Benhamouda,38,Female,688,Blida,Blida,Bir Mourad Raïs
289,Chikhaoui,33,Male,689,Algiers,Algiers,Aïn Benian
290,Hachemi,42,Female,690,Oran,Oran,Aïn El Turk
291,Belhadj,29,Male,691,Constantine,Constantine,Sétif
292,Boudjema,38,Female,692,Annaba,Annaba,El Bouni
293,Taleb,33,Male,693,Tizi Ouzou,Tizi Ouzou,Tizi Rached
294,Belalia,31,Female,694,Blida,Blida,Boufarik
295,Kerbouche,27,Male,695,Algiers,Algiers,El Harrach
296,Mellal,44,Female,696,Oran,Oran,Bir El Djir
297,Benhamou,28,Male,697,Constantine,Constantine,El Khroub
298,Boussaïd,39,Female,698,Annaba,Annaba,Berrahal
299,Bouchouk,37,Male,699,Tizi Ouzou,Tizi Ouzou,Azeffoun
300,Tahkout,28,Female,700,Blida,Blida,Bir Mourad Raïs
301,Souak,35,Male,701,Algiers,Algiers,Sidi M'Hamed


