270,Bentaleb,29,Female,670,Blida,Blida,Boufarik
271,Belaili,38,Male,671,Algiers,Algiers,ElHarrach
272,Slimani,31,Female,672,Oran,Oran,BirElDjir
273,Brahimi,27,Male,673,Constantine,Constantine,ElKhroub
274,Khiladi,40,Female,674,Annaba,Annaba,Berrahal
275,Tassili,35,Male,675,TiziOuzou,TiziOuzou,Azeffoun
276,Boucherit,29,Female,676,Blida,Blida,BirMouradRais
277,Boushaki,44,Male,677,Algiers,Algiers,AinBenian
278,Boukadoum,38,Female,678,Oran,Oran,AinElTurk
279,Tidjani,33,Male,679,Constantine,Constantine,Setif
280,Sahnoun,29,Female,680,Annaba,Annaba,ElBouni
281,Bouazza,38,Male,681,TiziOuzou,TiziOuzou,TiziRached
282,Bouiche,27,Female,682,Blida,Blida,Boufarik
283,Belmokhtar,27,Male,683,Algiers,Algiers,ElHarrach
284,Kheireddine,40,Female,684,Oran,Oran,BirElDjir
285,Boumediene,29,Male,685,Constantine,Constantine,ElKhroub
286,Belaid,44,Female,686,Annaba,Annaba,Berrahal
287,Haddad,30,Male,687,TiziOuzou,TiziOuzou,Azeffoun
288,Benhamouda,38,Female,688,Blida,Blida,BirMouradRais
289,Chikhaoui,33,Male,689,Algiers,Algiers,AinBenian
290,Hachemi,42,Female,690,Oran,Oran,AinElTurk
291,Belhadj,29,Male,691,Constantine,Constantine,Setif
292,Boudjema,38,Female,692,Annaba,Annaba,ElBouni
293,Taleb,33,Male,693,TiziOuzou,TiziOuzou,TiziRached
294,Belalia,31,Female,694,Blida,Blida,Boufarik
295,Kerbouche,27,Male,695,Algiers,Algiers,ElHarrach
296,Mellal,44,Female,696,Oran,Oran,BirElDjir
297,Benhamou,28,Male,697,Constantine,Constantine,ElKhroub
298,Boussaid,39,Female,698,Annaba,Annaba,Berrahal
299,Bouchouk,37,Male,699,TiziOuzou,TiziOuzou,Azeffoun
300,Tahkout,28,Female,700,Blida,Blida,BirMouradRais
301,Souak,35,Male,701,Algiers,Algiers,SidiM'Hamed
